id,first_name,last_name,username,password,role,age,location,date_joined
1,Павел,Никифоров,pnikifirov,gZvptL,member,21,1,2011-09-01T13:20:30+03:00
2,Альбина,Игнатьева,abiba_1341,4fVqL2,moderator,24,3,2011-09-01T13:20:30+03:00
3,Иван,Сысоев,vanya777,o535pj,admin,29,8,2011-09-01T13:20:30+03:00
4,Марина,Беркутова,orlanfree,d49rSO,moderator,19,10,2011-09-01T13:20:30+03:00
5,Галина,Иванова,galina_ivanova,wCqlVE,member,41,2,2011-09-01T13:20:30+03:00
6,Петр,Бойченко,petr_bo,xuR2jf,member,37,4,2011-09-01T13:20:30+03:00
7,Никита,,nikitapro,gzP4vR,member,26,7,2011-09-01T13:20:30+03:00
8,Виолетта,Петушок,riverna,zo0rj6,member,24,5,2011-09-01T13:20:30+03:00
9,Гульнара,Ибрагимова,gulnara321,daMocL,moderator,22,9,2011-09-01T13:20:30+03:00
10,Борис,Зайка,dragon84,sasha123456,member,35,6,2011-09-01T13:20:30+03:00
